compound_name,MARS_C03_000m_1,MARS_C03_000m_2,MARS_C03_000m_3,MARS_C10_000m_1,MARS_C10_000m_2,MARS_C10_000m_3,MARS_C12_000m_1,MARS_C12_000m_2,MARS_C12_000m_3,MARS_C15_000m_1,MARS_C15_000m_2,MARS_C15_000m_3,MARS_C18_000m_1,MARS_C18_000m_2,MARS_C18_000m_3,MARS_C21_000m_1,MARS_C21_000m_2,MARS_C21_000m_3,MARS_C25_000m_1,MARS_C25_000m_2,MARS_C25_000m_3,MARS_C29_000m_1,MARS_C29_000m_2,MARS_C29_000m_3,MARS_C34_000m_1,MARS_C34_000m_2,MARS_C34_000m_3,MARS_C38_000m_1,MARS_C38_000m_2,MARS_C38_000m_3
CholesterolEsters 16:0 +1O,423361037.2,384844547.9,356976582.3,457509713.6,427870070,430768241.8,46276710.05,49655274.55,53067074,605810526.5,494664119,510317115,200046666,135354292,176559987.4,112448093,101021036.7,102533675,161409069.5,127509425.4,163466106.6,96182659.12,118133204.3,102434696.7,31655201.11,35360572.23,44615628.85,84321680.46,88839488.84,90602614.19
CholesterolEsters 16:2 +2O,676314,1164398.36,707635.01,5727170.85,4638321.6,4744108.23,159778,41789.01,89788.98,553080.75,247237.27,225720.49,367495.35,535798.16,448356.57,251471.94,510048.17,261324,215647.05,0,0,61851.09,104043.47,34830.3,56785.11,0,0,378934.01,180418.01,105717.17
"CholesterolEsters 16:3 +3O,DAG 40:7",24058020.56,20756577.23,21293820.99,134293009.6,154658299.3,110665545.8,13094040.34,13111008.82,11325640.26,48457276.19,45503558.2,38617928.21,26915768.2,17880741.17,29331532.45,45542884.23,52759054.59,40538206.84,18477306.23,20183817.91,18585512.14,5437088.81,7017222.87,6424550.41,3707463.79,3851333.91,4246174.36,13103955.03,11134878.97,12694276.45
"CholesterolEsters 16:4 +3O,DAG 40:8",8055682.7,7350691.5,7737824.62,59495158.54,51202807.42,56391933.29,8216114.67,7188948.63,8192904.98,19039230.05,20230920.15,18919651.93,13190635.98,18782508.97,12294158.66,25977945.88,24568078.85,21793224.22,9656181.12,8390373.22,7696900.51,3204449.38,4052302.05,3429698.38,1719147.65,1698621.07,2327473.82,5589090.62,5604649.23,6865888.64
CoprostanolEsters 15:0 +1O,0,792738.85,0,27469811.65,21190343.33,20334792.86,0,0,0,698401464.4,628648053.2,599879738.2,7975034.36,0,11504410.64,1730522.74,1229064.14,4062621.18,50186068.04,52663849.85,51726477.29,10673365.31,12502966.54,11519407.76,7534094.83,7484509.8,8770899.75,3596629.56,4107275.32,4351636.35
CoprostanolEsters 15:0 +2O,1080479.51,803314.02,615681.89,2176301.19,1644128.51,1402446.49,0,0,0,67597888.65,55054079.79,51187802.39,62380.91,0,469648.54,1186636.81,1290541.75,3844080.99,8582469.56,8501238.13,9511425.33,978580.46,1157443.12,1100575.86,809489.55,499175.16,717296.14,0,0,0
CoprostanolEsters 16:0 +1O_RT:15.58,474577.52,0,0,46132029.98,59199475,49920053.8,0,0,0,393802314.8,92859779.43,100103362,29168641.08,0,130232652.8,334620.35,0,148347.3,717907357,624613318.6,712491579,160194784.2,175496515.2,163027894.4,96703830.93,104570864.2,131612014.3,13712455.73,16013514.89,17404871.05
CoprostanolEsters 16:0 +2O,689686.91,817636.27,1306475.63,35401903.93,33714057.69,46086883.3,0,0,0,25997382.98,26516401.36,17459824.37,6101064.34,0,14544162.25,1615929.04,2831356.93,4827057.99,115923623.5,117714794.3,122779573.3,24255524.98,27907243.89,25455753.67,16565621.08,17931045.5,23838368.13,4554136.57,5941087.83,7833415.61
CoprostanolEsters 18:0 +1O,10176499.15,12094227.35,11427571.94,91483983.74,90625744.23,67985180.16,2259265.27,1334207.68,2726606.14,8037400.3,9956944.78,7435824.86,18948744.19,7690312.67,19403609.83,14952416.17,16533564.17,12587276.54,13772747.61,11363178.99,12734448.06,0,0,0,0,0,0,16795443.47,16517734.61,17988529.22
CoprostanolEsters 20:0 +2O,0,0,0,36479190.59,45991372.02,44427134.1,0,0,0,50025687.12,51892380.48,52393989.59,16437826.24,0,14726642.87,2861794.62,2530073.95,7793896.76,22355992.9,18373582.17,21710343.42,13751723.16,16269021.84,14930823.03,12170550.25,11924753.06,13398360.36,11356870.19,10612337.2,12465797.39
CoprostanolEsters 20:2,19020103.8,17729545.62,16976506.48,31533243.13,29470335.3,27000014.41,1874682.95,739973.59,1977479.07,15431310.93,11667745.12,10606021.37,1098910.48,6736105.54,514056.11,17111373.04,19691500.47,16795809.24,6000862.89,4425895.86,6333000.99,0,0,0,0,0,0,712420.22,1160560.91,2005549.26
"DAG 20:0 +4O,LMGDG 14:0",40680350.08,35810855.57,35660187.86,90402083.51,85687756.69,89728503.64,7330874.08,6871958.99,6832469.12,28271604.94,27704175.66,21971347.72,9234011.9,23495401.33,8601210.27,29778882.46,29411618.36,27245207.83,7437317.6,1931687.34,7538974.43,2069080.53,2704743.82,2472100.7,1662225.82,1588359.33,1956560.73,5255833.09,5324422.62,7023536.55
"DAG 20:2,MAG 20:3 +1O",4013107.03,3514760.23,3156267.75,24443789.5,16318798.9,24266371.63,1246882.72,525055.09,1087480.79,20242441.26,18771844.94,15040392.15,2396175.15,1790175.67,1104042.48,3690348.94,4554080.36,2993992.67,2190823.49,1432107.16,2213696.34,0,0,0,0,0,0,725478.78,924433.92,2209000.52
"DAG 20:4 +3O,MAG 20:5 +4O_RT:1.48",2067584.18,0,1858715.68,10617199.09,5886064.47,11252866.5,169444.99,0,64856.16,5048553.63,4141652.57,3859025.61,2297054.93,0,1098526.25,2171892.01,2115851.62,2074689.26,2881917.03,3414014.4,3101994.36,97408.58,513276.47,179810.17,276940,322287.47,142002.16,338009.86,196279.78,558922.92
