compound_name,MARS_C03_000m_1,MARS_C03_000m_2,MARS_C03_000m_3,MARS_C10_000m_1,MARS_C10_000m_2,MARS_C10_000m_3,MARS_C12_000m_1,MARS_C12_000m_2,MARS_C12_000m_3,MARS_C15_000m_1,MARS_C15_000m_2,MARS_C15_000m_3,MARS_C18_000m_1,MARS_C18_000m_2,MARS_C18_000m_3,MARS_C21_000m_1,MARS_C21_000m_2,MARS_C21_000m_3,MARS_C25_000m_1,MARS_C25_000m_2,MARS_C25_000m_3,MARS_C29_000m_1,MARS_C29_000m_2,MARS_C29_000m_3,MARS_C34_000m_1,MARS_C34_000m_2,MARS_C34_000m_3,MARS_C38_000m_1,MARS_C38_000m_2,MARS_C38_000m_3
PC 38:7,383848692,209420927,198671639.2,475337651.9,434117116.7,441826709.1,43694173.53,44570654.35,47134702.41,262351390.5,247922202.7,228691384,73788327.46,96461077.55,66768244.42,125382589.8,220769451.1,111584806.4,192486784.1,164717132.7,190633498.2,51719813.97,64809602.87,58547450.92,41614095.86,42426272.45,54943290.69,91424359.68,109475257.9,131138266.9
PC 38:8_RT:12.08,49063780.28,49837115.95,48002942.08,168278091.5,147920750.3,157235409.5,8646345.98,8407120.11,12008321.42,52895418.83,58950698.78,59758778.2,13605836.23,34617964.94,13857832.19,24069549.95,25108808.92,36888036.46,60007446.48,53985502.81,59996370.62,19972698.14,23825185.54,22137062.92,14568172.81,15908449.94,17782900.12,48844804.22,51727916.1,52179817.25
PC 38:8_RT:13.64,457069213.7,417003493.7,334739423.5,226413618.4,197817217.1,196105837.1,61498189.07,60219206.79,77903532.99,272452256.3,249201933.4,240468733.2,40716134.4,136043634.8,30020541.1,236069054.8,272177699.8,202449685.9,57108919.15,42313645.45,54929372.4,11994146.04,15223269.61,14691952.95,7831174.19,8321317.49,9507263.7,33875672.87,37001715.24,35918102.89
PC 38:9_RT:11.38,214837240.3,188480782.2,188490942.9,428314333.9,376953571.8,396086639,49137118.73,49088915.29,52085562.7,302561612.4,289146591.9,257905662.4,65276942.65,92437940.95,59281384.85,127770119.8,142434096.3,122972642.1,114452102.9,104804799,120106786.4,36754352.37,44777787.6,40380643.47,26570157.23,28015689.02,31370468.49,98334738.35,94717745.69,104737682.9
PC 38:9_RT:12.87,267584904.3,250988155,248074468.8,350713377.1,319792676.5,318161193.3,12323873.71,81313127.78,104811000.7,402044072.5,390438138.4,359341344.9,88200388.29,241027617.5,64450803.59,209469480.7,225047908.5,189690893.3,87952294.7,64160620.04,90030016.36,25977649.94,33806540.46,30026004.95,14456500.51,15901143.71,19885460.96,43078423.43,57920863.73,65138555.24
PC 39:5,0,806983.6,19752142.16,61800192.43,73349091.37,54008863.73,0,0,0,28061895.28,25771994.57,23715205.06,18877240.93,0,16225983.34,0,9302202.19,1012940.46,18788727.15,18615297.21,18500088.71,10135083.25,12101278.91,11140914.98,4264818.1,3075399.78,4479185.14,4148647.66,3776133.65,3123544.39
PC 39:6,12590859.71,14204499.73,17187502.82,106884098.8,100083430.3,107712117,2124896.36,2919404.18,2132859.62,47251029.36,45174045.2,39587626.26,24855105.23,3968573.9,20517790.84,5651221.36,13898161.8,19054212.78,34691875.92,30607857.57,34178494.24,9741130.99,11263655.93,11085822.79,6740361.3,6536877.32,7665679.29,19229692.79,18938929.75,20347502.48
PC 39:7,18093926.84,25436988.38,21994427.7,47422398.76,38675478.61,68375421.55,3728906.04,7533575.1,3874780.31,43340345.19,81899984.12,76624340.25,15910866.2,12236255.85,10709595.97,12847111.57,18597888.83,15312654.99,48476701.71,35298641.34,38735561.89,19557514.62,24268502.43,16868722.35,10350055.82,10944735.28,11416150.53,8330462.54,9238951.02,9549887.42
PC 40:10 +1O,6813051.8,5286914.42,5727016.36,16953961.09,13710909.37,16180107.19,1007353.11,740106.82,870005.22,9246908.07,9615167.15,7505172.35,2647526.36,2907541.41,1395720.34,2635452.65,4041218.86,3408562.56,6098334.32,6080813.49,5965649.13,1738914.29,2030785.38,1654276,789744.75,767693.64,920395.18,1846608.77,1691749.86,1934815.54
PC 40:10_RT:11.81,1142717544,1080667121,1016426705,1279754228,1179056258,1235069923,173472638.2,161942115.9,175766168.8,1264188553,1203958715,1086580504,261557597.8,348081837.4,235496037.3,421069015.6,478599997.9,381342855,507775342.3,447786094.6,512606674.4,139907460.8,175870533.5,156258627.5,99316307.39,106134120.8,120169939.6,221587717.8,230559355.2,258710809.6
PC 40:10_RT:13.07,88610894.02,81754503.45,91282558.33,58966913.84,55499660.3,87286827.59,16752337.14,16698430.5,15749221.86,64813808.97,58502076.3,56008789.42,12908180.43,33016545.31,8449935.76,47417547.18,84691822.76,41861576.37,14453162.47,20477526.31,13219044.28,3616722.56,9125002.59,4674212.28,2861902.57,4952265.73,6944733.65,17202303.79,21330081.89,26251992.42
PC 40:11,89354181.11,83344891.45,75230120.36,335334355.9,311834044.2,314427188.2,36420080.76,34893581.33,35856616.69,264936383,261362960.2,234341362.6,63981531.45,92964354.24,55755137.86,115454301.8,124301479.7,106209274.8,132747750.4,107706259.3,121177605.5,23284958.23,28297579.57,26101518.3,20501727.86,22267280.57,25239520.36,54042818.98,55655990.86,62021453.27
PC 40:7_RT:14.17,291749846.5,259723421.8,251407576.8,568325267.7,533346137,521241523.5,48121034.81,65740972.13,23264483.88,410781622.4,418218336.6,379703704.7,111342846.2,44396328.36,100849312.9,171940748.9,175859302.8,196836380.1,197107576.7,187544923.8,202390430.1,65177541.23,75029644.89,65474652.39,39169992.57,41051997.35,43681905.87,61770297.03,68022404.56,62903014.24
PC 40:8,94745084.48,85803788.12,83397010.84,301094688,265102270,273296329,27898023.45,24920124.24,24319636.36,165829239.6,160067220.2,149890271.1,58732349.45,82008173.18,55843365.82,85909184.33,96062548.52,77591279.07,94209744.91,86010154.96,91485570.67,26927732.61,33619424.62,29683938.02,17223117.2,17629037.74,21031832.26,31239136.53,32282072.44,33677905.41
PC 40:9_RT:12.5,100261169.1,150758430,98550851.3,166258451.7,155295221.1,159621034.7,20553073.83,21427592.28,22485082.01,148810874.8,137996602.8,162643237.8,38885542.72,50095056.19,42205219.93,54599187.73,91749982.86,48308977.94,93624444.18,88773416.86,94208021.05,24889400.36,31251437.61,28343864.07,22575871.45,21985070.53,25528849.55,46903044.01,49142664.7,55136493.48
PC 40:9_RT:14.05,2144610468,2299548023,2022295158,5799025037,5365003597,5242554609,1533238417,1037329339,1406376016,4722913072,4552113757,4114310716,1190817274,3972399686,990519215,2493315625,2928425271,2851497261,1456315695,1118282279,1392421800,421215145.1,520096403.1,423341049.1,241321169.2,250457457.9,293366494.4,678526546.2,729721903.2,755319245.9
PC 42:10,122704348.5,112724344.3,110244216.6,126717892.5,113625698.1,116304026.4,28863132.49,30203155.41,33158877.63,125167207.9,115945807.6,95655996.71,23841659.91,17336679.06,18167261.05,73952686.72,75262931.24,73413873.49,25369740.7,20826464.77,24693712.07,7478163.9,8089734.55,7566202.93,4214562.28,4421671.49,4376134.66,11326096.31,12270159.52,13524533.88
PC 42:10_RT:12.65,84702376.65,83675527.81,84119111.74,140181877.1,136761653.9,130800817.3,6345493.59,8154987.02,6987349.73,110638237.6,114195375.5,99777644.62,25205649.07,15250934.57,22980689.69,41260424.19,45286325.28,37015016.22,63390477.48,44243082.01,63891238.82,13637887.86,18290624.86,11850966.44,7697253.79,8063695.9,9535813.97,24770059.4,17582704.73,18408056.03
PC 42:10_RT:12.95,48352716.54,45363101.14,44869621.07,73544349.56,61585067.41,68256990.98,6536270.86,7235127.29,6868616.63,43596103.02,39984288.66,41143635.87,11318042,15152792.56,10082455.58,24367030.71,25704015.2,20408345.99,17471308.26,16375363.14,16906025.22,4875982.42,6460909.15,5513705.13,3753249.04,3813029.79,4000001.35,7360890.74,8413576.54,8940931.22
PC 42:11,2172327064,1992512137,1907848385,4289543783,3974418905,3841814612,403310653.8,380921813.7,417775986.4,3474193351,3284474091,2935964045,1036362272,1078048264,951256006.6,1299891644,1383367838,1242749341,1882528605,1704305605,1890011680,546973383.4,643287001.9,595059915.8,320442385.3,335377230.9,394417426,563219402.8,596280876.3,630754251.9
PC 42:11 +1O,9237107.49,8333151.8,8331746.26,24007359.83,27297469.79,28148716.41,2315003.84,2951448.13,2396405.25,15309584.02,17872059.46,13359920.36,4750984.53,6346936.28,4272117.34,9583906.14,9138946.72,8057419.64,9777814.64,9511229.24,9810308.01,2370398.55,2945432.33,2436266.26,1320607.84,1149791.07,1635220.27,1938539.59,2244171.75,2479935.86
PC 42:9,21523395.95,17491470.41,16416351.23,26976996.5,22746138.29,23386147.94,2758103.6,2282176.12,2454268.93,16024899.78,16358675.97,13196469.15,6036699.52,7715958.65,5719292.68,5444741.45,5206015.64,4712829.78,8470678.93,7636853.39,7865202.16,1878564.6,2307031.24,2036090.86,1426159.65,1621864.69,1785552.81,3052138.05,3438530.72,3154036.58
PC 44:10 +2O,6148762.43,5380778.48,5091531.74,11014697.43,8591385.53,9679024.35,2261226.31,1836404.29,2343660.42,13571158.05,12167535.76,10705013,3800659.69,8301003.28,2670053.76,9105759.51,9047751.08,7950753.95,4665014.03,3366938.8,4572183.55,1881912.14,2452419.25,3239864.17,1844249.1,2356015.24,2197377.09,3218166.75,3269332.17,3808480
PC 44:12,1594108806,1492114154,1436156496,7500037048,7166434844,7365388682,698043259.7,678799276.4,731927644,5597972649,5322747143,4881274397,2190967035,2386983343,2116309108,2255064339,2415849470,2063411500,2979865113,2788194354,3035197553,904380203.9,1074017791,966641789.3,504283311.3,530398843.8,595256133.3,766755194.2,792501165.7,845127088
PC 44:12 +1O,6863692.23,5451805.06,5765119.26,32423487.53,39101360.05,28463692.68,3081518.5,2796342.58,2773974.34,19262944.32,17910069.15,16311451.87,10003718.12,10288292.47,6126255.15,13885005.42,10143930.58,9951660.55,9110395.64,8650878.99,8870713.57,2103495.65,2841498.77,3002853.79,1312972.56,1172648.72,1523611.02,2363573.65,2825363.66,2056292.83
PC O-35:3,13086958.32,6903784.74,9032292.48,39299048.73,34873106.37,35365956.21,0,0,0,3204102.88,2672537.26,5735065.34,0,2662640.35,0,8191644.71,8674946.3,6351492.63,71643105.44,55278027.77,67573104.27,9670949.93,12134243.43,8159812.22,6162399.11,6349719.94,8354903.49,0,861684.78,1941023.63
PC O-39:9,14030919.64,13300499.36,11199032.19,19542705.77,16486668.83,20166932.12,8779033.3,8232546.21,8732049.82,15928271.7,15219687.75,14621113.7,3513130.39,25159402.81,3004035.08,23604780.31,28932663.29,23587900.6,2354335.31,1962457,2379984.91,795087.93,904626.43,920847.3,500515.59,561792.46,769556.51,1522349.06,1711492.31,2168185.92
PDMS13,8170684.33,6053769.16,6031685.07,78009003.29,212520234.3,70768121.31,119447777.1,278734738.1,106031626.5,1773390509,1685315958,7353924056,185118407.3,418742695.7,166086405,9410534.54,7486512.25,9442459.4,2524632.01,1045870.19,2783539.96,1349805.16,0,0,1389063.41,0,0,860272929,355469798.6,840459507
PDMS14_RT:15.71,24198674.1,16053281.15,36066854.79,492135822.7,3514100971,249205389.3,124231525.4,305420843.8,235379088,361746815.6,247454872.7,4419914093,589828791.8,1571662991,730344799.5,25068565.64,91099548.43,29331491.96,13945555.05,1177218445,17428245.71,0,0,0,11790775.38,5904322.81,0,222336537.5,307268337.1,335359057.9
PDMS15,380022780.6,685218537.8,400937197.3,297899855,1137987592,512751750.5,82684184.61,142273060.4,27947641.7,660489721.6,3579948107,481767027.3,501143128.6,521375188.7,615974422.7,82427708.99,414785566,285651512.8,58781741.76,1014148084,70750338.29,0,0,0,68675699.91,122188867.2,0,616319794.6,215574334.5,273209372.2
PDMS16,13621278.48,294494037.3,244065641.1,3099584503,368201252.8,390596623.8,16736079.67,0,0,3471164497,744096757.9,566810831,122183304.2,136031733.8,81591647.15,60008471.7,66573143.94,240888539.9,108882504.9,107080193.5,34077829.68,96480850.04,0,0,26490195.44,58550687.1,0,228666053.9,81674193.15,75366100.69
PDMS17,160905962.2,117920505,136038815.7,903763920.5,914286728.7,492254210.5,111684002.2,63096177.67,35715683.24,460044994,201734875.8,75470193.19,108352543,7140306.71,79260030.38,179148616.6,170921017.3,116245327.8,483960776.6,116971955.2,463565650,33751192.39,0,105791648.1,0,0,80290685.31,281616405.2,249694437.6,67911264.32
PDMS18,89523275.52,51428223.17,53064910.21,707209748.1,416094624,499790632.9,18252241.15,10946810.03,1636932.89,275665735.8,223774743.7,213280857.5,218241211.7,21296472.7,113440592.8,110574931.2,34290579.82,27499948.45,111147096.3,143526789.8,107173773.6,61898645.93,0,6466345.33,2551810.39,12915068.95,10681273.36,84974372.78,242126549.7,91942513.62
PDMS19,45406069.07,67928037.38,63946812.45,632890954.9,518690064.9,705733647.4,18180253.05,4984736.24,85540924.18,71437033.75,61442528.18,53307655.15,184731510.1,44920246.96,69085317.79,72618697.16,18190861.7,23561612.16,301013103.1,109328250.2,360180666.3,25343708.31,31550151.75,27786220.42,6081918.11,7323061.04,34081730.62,100972842.3,98035972.13,73471305.31
PDMS8,627198477.3,305266464,265551506,1121438642,977778511,939410249.3,1057998804,0,836086811.2,2847363689,983021768.8,391207365,1687916437,2901962303,2359604081,780889812.5,939961147.7,362954567.9,253848808.5,108854262.6,477457885.2,0,0,40249806.26,0,0,98896167.83,51582964.57,47987226.97,87310400.25
PDMS9,441675654,200618664,111723645.5,612832636,505180196.6,449360071.3,1454225563,52752514.11,857753098.9,2252826233,731423792.1,334725675.5,767379566.3,1056341781,954452225.2,727405674.1,917075728.4,247178175.5,167750621.9,180700276.6,347150542.6,58295796.52,70869477.69,114243711.3,0,0,163526551.7,56026810.58,62638163.42,101672576.6
PDPT 24:0 +1O_RT:7.01,13115583.91,12145382.38,12029737.27,20216417.38,19807052.52,19902288.71,1678037.18,1463731.45,1580094.63,2750362.29,2416038.62,2013031.2,1495662.46,1464095.99,1202545.83,1752697.77,2059388.08,1829188.59,995514.93,883863.16,1147387.17,115913.59,140279.08,138705,108938.83,129544.69,156109.55,850475.12,924280.03,1015634.61
PDPT 24:0 +1O_RT:8.74,3213818.47,3524076.3,2226767.1,5246432,2139620.94,1892230.47,1184546.17,1031873.28,1228473.48,2707030.06,2820292.15,2447653.93,752585.44,2726495.44,279117.4,2365736.94,2633558.65,1795672.66,302444.3,308931.15,497114.39,89929.51,87485.25,88915.66,51732.4,54562.11,57540.63,222741.15,152662.81,159039.92
PDPT 24:0 +2O,6061425.61,5726756.51,5690373.51,12480846.89,10980276.48,10876683.39,1500007.51,1389825.86,1294696.58,2914615.22,3083341.01,2475668.73,1694301.67,3130515.87,1518502.75,3884750.07,4769155.62,3718532.1,2810070.92,2653732.15,2887993.26,330416.24,431385.13,393931.35,363319.36,344584.41,432762.21,942028.67,870334.94,1168887.08
PDPT 24:0_RT:10.08,4144469.55,4564818.54,4270332.13,11988454.93,11384441.93,11060981.02,721071.07,794279.99,935911.45,1692934.14,1390499.68,1382823.13,1457504.74,1732064.53,1080492.94,856456.88,580107.19,757602.13,282820.82,1353751.25,1374864.32,109945.7,31251.44,35784.54,44941.43,128315.78,27750.25,622301.23,743855.31,562616.52
PDPT 24:0_RT:8.26,3475254.38,2622557.49,2516229.98,8201212.8,6978455.69,7605747.21,804173.97,818552.21,737986.37,2619057.04,2434990.8,1939461.34,1338797.34,1956832.21,801590.52,4012268.39,3627059.09,3376563.48,2371076.41,2722122.09,2414595.12,580832.2,601195.12,569199.91,565172.15,500926.36,558610.16,971462.63,1132910.49,1254715.63
PDPT 24:4 +2O,2898161.65,1547777.24,2896809.55,214394179,186584595.3,196620513.2,280766.79,126304.41,418003.69,83442897.16,81907299.21,76025501.59,80655034.39,871651.24,18740344.48,3153655.39,3033634.55,3080463.3,46984623.47,29713172.14,43923578.16,10685235.51,13185096.29,10504412.24,7204236.57,8335173.54,10407742.06,23045401.9,24257213.86,22951036.54
PDPT 28:0 +2O,3948810.43,3062094.26,3334840.77,8650623.15,7774997.55,7269203.09,770688.07,650431.48,825383.62,2064034.5,1931033.97,2058022.2,799632.39,1127994.46,743722.56,2534715.55,3268985.19,2565841.04,1879378.42,2277301.93,1925266.56,598151.99,757963.6,710562.65,536798.34,584425.92,575172.72,995926.83,1080912.12,1192960.34
PDPT 30:0 +2O_RT:8.26,17109999.14,16165134.27,14927459.3,44574083.37,37913008.63,40372193.72,3961243.1,3801984.64,4423321.01,15157008.48,13108782.08,12123685.83,6788477.21,9895710.79,5549451.86,20309700.22,20646049.62,18049638.99,14184956.63,15209304.57,14232841.85,3218972.6,3853733.61,3744932.05,3277146.99,3054569.63,3358939.32,4900270.31,5775258.2,6437582.54
PDPT 30:0 +2O_RT:9.55,1980070.6,1547214.72,1602498.31,8136135.61,7644858.11,7624720.34,949785.49,789091.6,987867.21,2875063.73,3165572.19,2775707.2,1501825.46,1847630.7,925121.55,3370058.4,3754281.66,3391506.68,1883578.85,950616.52,1004142.12,224326.2,179416.41,279418.99,108886.03,154310.66,193676.9,1238720.02,1216772.62,1504205.73
PDPT 30:1 +3O,13446391.09,11359657.73,11535670.48,24303464.51,21294099.42,21272983.71,2861753.05,2890133.47,3074149.33,6643548.71,6142719.03,5515109.84,3398043.68,5997668,3051505.02,7546487.99,8820080.32,7206692.25,6462319.51,5239939.52,6431740.34,751958.06,904287.34,893132.31,728137.38,727448.01,1052298.2,1900536.66,2040721.86,2065786.55
PDPT 34:3 +2O,20681848.65,18098685.37,19017744.63,17770794.21,16078573.81,17628901.31,2531137.42,2100249.54,2324589.77,8991973.64,7712164.23,6689405.86,1718558.54,5076810.13,747665.38,16921009.98,19443752.71,16451817.32,449650.06,503351.19,346063.19,0,0,0,0,0,0,2746520.73,2978004.21,3133172.85
PDPT 36:2 +2O,91851035.74,96829293.19,92810701.88,33372409.35,26174903.81,27755007.27,4035801.01,4344463.61,4093607.58,6487588.11,5669803.56,8388166.45,5369316.39,7856366.76,6283355.93,13610823.45,17991840.76,11428287.03,1576260.07,2441248.45,2185573.04,314225.95,314793.02,0,148913.22,53496.45,114787.19,2234519.25,1997323.81,1436037.26
PDPT 36:3,6811441.71,6455934.13,5107277.91,9851304.03,7159962.82,9075718.97,4658493.69,3955024.96,4150015.65,8832371.76,8112557.53,7563374.34,1780169.08,12209825.19,1418848.19,13645480.68,12997992.11,11776949.72,1189110.92,728403.46,998129.82,312310.78,431389.07,453133.16,219318.35,223487.21,300165.73,744561.8,903547.8,838521.5
PDPT 38:3 +4O,2925973081,2582814718,2550442974,8572588923,6839423714,8136367705,213500279.1,181964840.1,191472743.9,3331588932,2487743221,2499237470,251867738.7,505168384.6,216100552.2,376472604.4,488201012.6,380563518.6,32361673.23,29907261.33,22275133.87,64474491.65,69005456.36,55327440.27,2887201.06,3225766.9,3579756,170248675.5,189268720.6,189224146.8
PDPT 38:5,3996967.55,4111033.36,3704689.71,4707856.66,4085781.7,4392004.35,2823211.38,2490133.55,2554826.77,2700863.57,2388073.92,2175684.86,1232269.89,5034108.88,861067.19,8746227.97,9891196.57,7745861.58,1509745.49,1213975.95,1276072.87,310240.23,452810.91,445584.92,393953.43,499299.08,539635.49,725006.52,946891.12,936592.08
PDPT 40:5,24940760.23,21431878.54,23691240.13,25903664.5,30382303.57,28793256.53,12207027.21,10455685.34,12768603.17,35859381.51,32770109.55,34567688.18,9934240.13,40812155.23,9141420.32,36161315.85,39563541.56,31290119.78,5414381.55,2678045.84,4730576.54,966396.14,1297460.74,1146844.75,633756.38,693830.24,956003.58,3471433.44,3004744.34,3948481.88
PDPT 40:5 +1O,6598024.28,6268961.86,5884552,11651575.79,10223835.28,10869044.27,4144536.36,3919908.36,3803155.87,11117527.18,10617155.14,10622793.45,3486372.63,15302016.07,2685841.06,11095772.68,11399725.36,9920353.87,2518105.23,1600021.81,2275117.05,353476.94,478016.57,444039.95,214946.11,232533.19,274475.83,1423432.32,1412039.92,1480769.25
PE 28:0|PE 13:0_15:0,11779031.05,11607652.15,12956459.33,14531796.77,13842692.05,12680570.5,11108368.36,9832702.8,12551841.47,9464518.32,9043449.4,8004467,11611307.07,13145699.24,7435446.33,12324240.74,13683117.48,13741017.34,5423999.3,10933760.56,10551626.18,7077936.84,7266603.95,7181083.62,8426636.51,8384856.28,7904081.36,10119514.9,13657040.39,14214344.71
PE 29:1,21536598.57,20060825.74,21252737.93,20619143.9,22961411.96,21623422.03,14230203.53,15911224.72,14704221.76,15537263.34,14717620.48,12620984.16,12287771.89,19672320.03,13493825.5,17303304.67,19993630.38,18923777.4,14951969.43,10760706.71,15120105.08,8852458.65,9743269.43,8598986.77,11216637.53,11358823.28,11851277.23,13631451.13,14973393.06,14650612.26
PE 30:1|PE 14:0_16:1,76357425.98,82119608.38,71470677.79,97994422.26,100010852.8,93663529.16,45712295.39,55777716.41,59307453.39,67380303.48,57158394.28,52022205.84,56531639.57,92178806.54,53087981.62,83969875.44,78682232.12,105982012.5,57378204.29,58982715.99,55831967.21,35274273.93,37371093.12,36163176.58,52226200.01,51739577.3,57999001.93,86500898.85,83979447.04,85527898.35
PE 30:2,8101431.7,9880622,10894989.47,12387969.1,14077113.54,14798893.23,6615179.17,5639461.31,4693766.15,11556227.88,11982823.58,13056292.44,10990809.24,9969846.3,5548737.12,13265018.51,11746434.98,11963143.6,12435252.29,11856006.31,11343793.44,8661616,8756649.69,8627191.88,13122646.86,12937542.76,13437444.55,22282598.09,22448894.13,21829117.87
PE 32:1 (16:0/16:1),84346090.03,89192731.23,87218318.94,147565739,159703210.5,138588132.6,52213168.13,46959908.9,45411198.74,109363453,109047756,110729722.7,73688522.43,110186932.5,65880170.98,107844262.6,121961937.6,115966253.6,80966619.24,82074840.27,79648207.7,48191408.43,49649635.61,48331943.19,69726616.84,70358034.8,95661018.26,116860565.6,110578639.7,113418976.8
PE 32:2|PE 16:1_16:1,99989296.29,95248251.56,94780914.43,130920287.8,127421569.2,127144246.8,47206772.21,46742299.98,48033493.87,88753534.91,74618276.56,69080939.84,61524872.98,93827219,53533907.26,107764787,112775900.4,108527972.6,72360667.36,72487067.14,69326673.75,38871776.1,42945675.08,40045756.42,57344170.15,56484371.82,58468324,94894560.91,100179115.6,86255592.31
PE 32:4,13253883.9,13353136.3,12001694.15,14218923.99,14439176.73,11179370.62,4552192.22,4847600.89,4631771.85,8515141.34,8959655.93,9085119.47,5781674.08,8579703.07,4908241.64,11499990.93,11325021.83,10439832.75,6750062.09,7211451.98,6475130.22,2857286.35,4055715.79,3341614.98,4431419.31,4250297.19,4271086.85,7665298.25,7417975.61,6072139.92
PE 34:1,15629197.07,12257390.92,12999319.46,52094847.95,52133225.15,56851555.4,5641044.65,6074463.43,6362907.24,32955998.48,35274920.44,34388208.27,30067958,12726265.17,29393156.14,9741629.25,10241376.97,12742371.28,30794575.63,28440247.07,29553864.07,16405914.06,17325279.04,16222481.73,23469608.72,24043500.73,31989968.69,35903043.7,40433124.71,36878025.02
PE 34:2,17331215.6,17663350.05,18305335.41,12480353.37,10235650.39,11183149.06,12022672.21,9714021.22,9037891.35,9018994.01,10926815.41,11990888.56,2451797.84,28711269.21,2979420.36,18494033.78,18399180.09,14096987.76,4231347.38,3998701.31,4183558.26,2138139.42,2500425.75,1975521.57,2790020.77,3282926.26,3297097.12,5553317.56,5851647.6,6451753.21
"PE 34:2,PA 36:3",102442978.8,111983121.4,102529912.8,192623965.7,190924128.5,186281790.5,51062449.31,61346965.28,57663431.13,140570528.9,133377294.6,137759784.9,108216453.1,137281487.6,98185063.27,131600155.7,148971472.2,146961970.7,110280172.2,108800144.9,110526695.7,62140855.82,61921162.01,60743189.62,87622707.87,82423928.17,86212286.56,153015259.6,151118408.6,181760890.7
PE 34:2|PE 16:1_18:1,230844552.3,218319134.2,206753019.1,569632081.6,544909616.3,554701393.2,39465716.03,37184479.54,38477172.24,457539012.3,416836383,373829533.8,61009464.57,88453893.55,60342729.51,226469419.5,248649985.2,209987099.1,112995443.5,109990398.4,119019920.3,36115931.32,45019620.63,42484370.67,24013971.79,24197863.96,28225045.5,85081379.33,89041121.61,117011999.7
PE 34:3|PE 16:0_18:3,8021490.49,8196473.32,7817893.56,11840743.57,19364392.93,12478473.39,3311371.88,4053487.78,3598797.61,12126918.74,15741077.19,8278646.27,8322470.92,10034510.65,7588775.96,8435308.67,9070680.13,12172865.96,11281034.13,9668523.08,10906387.87,5801827.87,6123677.53,6374268.44,6540501.33,6575712.53,7807337.16,17648063.03,14786491.77,10344894.86
PE 34:4_RT:13.02,15734894.61,16789504.85,19534029.13,13406676.59,13076394.45,13620533.34,4164563,4895351.72,4674059.33,11897922.24,10932743.4,11526637.76,6745188.56,10919859.08,6111644.09,11716799.77,12650916,12496268.47,10431969.41,10846630.8,10559227.61,6071699.26,5728657.24,6276553.21,7457538.55,6570593.62,7484628.4,13282828.74,13070428.6,12309365.67
PE 34:4_RT:14.12,32339747.92,29456498.75,28596132.27,36300475.83,40372332.69,31999385.93,23456036.48,18460307.12,22374588.39,27024349.17,23683210.45,24966266.87,17120559.71,42628645.5,14098534.27,35646814.52,39935789.04,40139391.32,14801495.08,13309974.89,13620301.19,7176805.13,6963879.41,6880140.89,9452338.12,10005539.14,13846538.67,30136871.21,28813689.41,28910265.76
PE 34:5_RT:12.39,24612428.57,22635191.08,22945368.25,34601117.74,28014386.48,28889659.39,10764430.38,11933228.54,10869086.91,23586227.3,21323105.16,22221339.13,14222147.66,22606613.08,12688594.08,28311126.23,29696172.82,26869796.56,17259371.36,20385616.93,20253813.53,10423596.73,10409852.44,11312157.05,14829706.21,14577763.84,14368856,24496710.28,22742995.16,16754836.95
PE 34:5_RT:13.31,27217707.66,24992589.9,26266066.55,26190069.98,28826770.68,27435435.61,13924563.7,12251803.38,11918305.19,19320148.6,14833986.3,13343236.34,13450376.61,27469147.59,9346778.94,30902286.85,29895936.1,30398889.98,13052236.15,11322258.19,11752968.93,6260224.54,7309493.5,6260884.72,8104915.39,8102574.52,8866612.26,23085680.41,22794323.4,17934223.41
PE 36:5,22905470.35,22873587.77,22920193.4,14299526.22,12464147.63,12865498.36,5524974.46,6534691.02,5206125.67,12741345.49,12653513.09,13043072.95,8137763.66,17915909.57,6061121.78,12818820.56,14800134.64,14323761.37,6971365.11,5676238.58,6062758.14,3517412.15,3981706.92,3513800.72,3042576.74,2993418.6,3314975.47,9193967.82,8845103.09,9420545.14
PE 36:6_RT:12.57,31129793.22,29378885.07,26769352.78,41273450.25,46683400.59,38030359.05,11385593.8,12596327.57,11550066.98,27222248.36,27569424.19,28597752.11,19959619.07,27036774.67,16636917.88,34282071.88,36478798.99,61982122.12,19512986.29,20824120.51,21725007.45,9152910.07,9597818.75,9139207.71,11457191.45,11089363.14,12076504.48,30703601.14,49897197.22,28792329.64
PE 36:6_RT:12.79,41375364.99,69335652.53,38597590.08,32344641.28,34338807.22,36780598.42,13332667.21,15864578.07,26693613.32,29172753.65,29244003.67,29663000.16,20943614.12,30697270.91,17593452.44,27737924.36,28653904.86,26269760.89,24161326.48,45222687.88,24118792.14,19505521.45,21180023.8,19787738.01,25069904.89,24468205.4,25438739.52,22174019.36,22154949.8,24409142.83
PE 38:6 (PE 16:0/22:6),779483620,793445539.7,776777728.4,505716847,512174619.7,450769370.4,163270751.8,164069957.2,159862484.6,620518716.9,655236069.6,634526865.1,393094668.6,450451865.6,360650436.3,172747300.2,178695414.7,192075677.7,414931270.8,411624647.6,387700663.8,226907981.8,242195698.6,221114818.5,260934782.6,253239456,264287520.6,383618303.3,385823054.1,388119353.1
PE 38:7 (16:1/22:6),41051858.95,40960213.99,39053606.23,33591470.53,33017292.78,33473181.53,14594717.43,18538876.59,14881501.53,34791266.01,33913917.03,33736979.77,18525385.13,29132015.14,19478008.59,31949499.49,34630061.24,31922413.96,27483309.17,27619362.12,27638037.3,14432301.5,15295854.99,14815702.91,18668066.23,17422826.1,20881334.72,38547081.07,39742191.21,41102632.67
